iter	Passed	Remaining
0	24	24576
1	41	20700
2	62	20703
3	81	20416
4	100	20094
5	115	19185
6	135	19210
7	155	19227
8	175	19350
9	194	19207
10	214	19306
11	234	19291
12	252	19155
13	268	18908
14	291	19123
15	308	18979
16	324	18754
17	339	18497
18	363	18784
19	379	18613
20	391	18269
21	404	17960
22	415	17668
23	436	17738
24	451	17595
25	464	17419
26	479	17267
27	496	17233
28	514	17228
29	529	17135
30	546	17076
31	562	17013
32	575	16862
33	593	16857
34	610	16818
35	625	16749
36	640	16669
37	654	16559
38	668	16472
39	682	16369
40	697	16312
41	712	16246
42	726	16171
43	742	16130
44	760	16149
45	777	16117
46	790	16036
47	804	15964
48	817	15858
49	835	15868
50	850	15822
51	864	15768
52	876	15663
53	891	15617
54	911	15662
55	927	15626
56	940	15556
57	953	15481
58	974	15546
59	989	15502
60	1001	15423
61	1014	15342
62	1025	15258
63	1044	15277
64	1060	15260
65	1075	15222
66	1090	15190
67	1105	15145
68	1123	15155
69	1142	15182
70	1161	15201
71	1179	15204
72	1198	15225
73	1216	15216
74	1232	15203
75	1248	15178
76	1264	15157
77	1274	15060
78	1288	15023
79	1303	14985
80	1314	14911
81	1328	14876
82	1344	14849
83	1358	14808
84	1368	14726
85	1380	14668
86	1399	14689
87	1411	14625
88	1423	14571
89	1436	14528
90	1454	14527
91	1471	14525
92	1490	14535
93	1503	14489
94	1515	14440
95	1529	14406
96	1547	14408
97	1559	14353
98	1572	14313
99	1586	14277
100	1601	14251
101	1614	14212
102	1634	14232
103	1646	14187
104	1658	14134
105	1669	14082
106	1682	14043
107	1694	13995
108	1707	13955
109	1719	13911
110	1730	13859
111	1742	13818
112	1755	13776
113	1766	13729
114	1778	13683
115	1790	13643
116	1802	13605
117	1814	13560
118	1823	13501
119	1833	13447
120	1843	13393
121	1855	13354
122	1866	13310
123	1877	13262
124	1885	13200
125	1897	13164
126	1907	13114
127	1922	13095
128	1931	13039
129	1940	12985
130	1950	12939
131	1959	12887
132	1975	12874
133	1986	12837
134	1997	12798
135	2006	12747
136	2015	12697
137	2025	12652
138	2034	12601
139	2044	12558
140	2053	12508
141	2063	12468
142	2073	12424
143	2081	12376
144	2092	12337
145	2101	12289
146	2110	12244
147	2119	12203
148	2129	12160
149	2140	12126
150	2148	12082
151	2161	12056
152	2171	12019
153	2180	11980
154	2189	11937
155	2200	11902
156	2209	11861
157	2218	11824
158	2228	11788
159	2237	11746
160	2247	11714
161	2261	11698
162	2270	11659
163	2280	11624
164	2289	11585
165	2298	11547
166	2308	11515
167	2317	11477
168	2327	11445
169	2337	11411
170	2346	11377
171	2357	11346
172	2368	11320
173	2382	11309
174	2395	11295
175	2408	11276
176	2420	11252
177	2432	11232
178	2443	11208
179	2459	11203
180	2471	11182
181	2483	11164
182	2496	11144
183	2507	11118
184	2516	11084
185	2526	11057
186	2536	11026
187	2545	10995
188	2556	10970
189	2565	10938
190	2575	10908
191	2585	10882
192	2595	10851
193	2605	10823
194	2615	10795
195	2624	10765
196	2633	10734
197	2644	10711
198	2657	10695
199	2666	10666
200	2676	10637
201	2685	10609
202	2695	10581
203	2705	10556
204	2714	10527
205	2724	10502
206	2735	10479
207	2744	10449
208	2754	10425
209	2765	10402
210	2778	10388
211	2789	10369
212	2801	10350
213	2814	10338
214	2828	10327
215	2841	10313
216	2860	10321
217	2873	10307
218	2886	10294
219	2900	10284
220	2913	10271
221	2925	10253
222	2939	10242
223	2952	10229
224	2966	10218
225	2980	10206
226	2992	10191
227	3005	10174
228	3017	10159
229	3029	10142
230	3040	10122
231	3051	10102
232	3063	10086
233	3075	10068
234	3086	10048
235	3098	10032
236	3110	10013
237	3121	9993
238	3134	9979
239	3146	9965
240	3157	9945
241	3172	9936
242	3185	9923
243	3199	9912
244	3212	9900
245	3225	9885
246	3236	9867
247	3248	9849
248	3257	9826
249	3268	9806
250	3277	9780
251	3287	9759
252	3298	9738
253	3308	9718
254	3319	9698
255	3329	9677
256	3339	9654
257	3350	9636
258	3364	9625
259	3377	9612
260	3390	9600
261	3403	9587
262	3417	9576
263	3431	9566
264	3445	9557
265	3460	9548
266	3473	9535
267	3486	9521
268	3498	9508
269	3511	9495
270	3525	9483
271	3537	9468
272	3550	9456
273	3566	9448
274	3583	9446
275	3601	9446
276	3616	9438
277	3632	9434
278	3646	9422
279	3658	9408
280	3671	9395
281	3686	9385
282	3697	9367
283	3705	9342
284	3715	9320
285	3723	9295
286	3732	9271
287	3741	9250
288	3757	9244
289	3767	9223
290	3779	9209
291	3789	9188
292	3798	9166
293	3807	9143
294	3818	9125
295	3835	9122
296	3847	9106
297	3856	9084
298	3868	9069
299	3878	9050
300	3888	9030
301	3901	9018
302	3911	8997
303	3920	8975
304	3930	8956
305	3939	8934
306	3949	8914
307	3965	8908
308	3980	8901
309	3992	8885
310	4004	8872
311	4016	8856
312	4033	8852
313	4047	8842
314	4061	8831
315	4070	8810
316	4080	8791
317	4093	8779
318	4109	8772
319	4120	8756
320	4132	8740
321	4142	8721
322	4153	8705
323	4168	8697
324	4180	8682
325	4192	8667
326	4203	8651
327	4213	8633
328	4231	8629
329	4244	8617
330	4257	8604
331	4269	8589
332	4287	8587
333	4301	8576
334	4313	8563
335	4325	8548
336	4338	8536
337	4356	8532
338	4369	8519
339	4381	8505
340	4392	8488
341	4408	8482
342	4427	8480
343	4444	8475
344	4461	8469
345	4475	8459
346	4490	8449
347	4504	8439
348	4519	8429
349	4533	8418
350	4545	8405
351	4559	8393
352	4571	8379
353	4584	8365
354	4596	8352
355	4609	8338
356	4621	8324
357	4633	8308
358	4645	8295
359	4658	8280
360	4669	8264
361	4681	8250
362	4693	8235
363	4705	8222
364	4716	8205
365	4728	8190
366	4739	8174
367	4752	8161
368	4764	8147
369	4778	8135
